id,campId,lv,stars,hpMax,phyAtk,magAtk,phyDfs,magDfs
int,int,int,int,int,int,int,int,int
110100,101,0,0,0,0,0,0,0
110101,101,1,5,0,0,0,0,0
110102,101,2,10,0,0,0,0,0
110103,101,3,15,0,0,0,0,0
110104,101,4,20,0,0,0,0,0
110105,101,5,25,0,0,0,0,0
110106,101,6,30,0,0,0,0,0
110107,101,7,35,0,0,0,0,0
110108,101,8,40,0,0,0,0,0
110109,101,9,45,0,0,0,0,0
110110,101,10,50,0,0,0,0,0
110200,102,0,0,0,0,0,0,0
110201,102,1,5,0,0,0,0,0
110202,102,2,10,0,0,0,0,0
110203,102,3,15,0,0,0,0,0
110204,102,4,20,0,0,0,0,0
110205,102,5,25,0,0,0,0,0
110206,102,6,30,0,0,0,0,0
110207,102,7,35,0,0,0,0,0
110208,102,8,40,0,0,0,0,0
110209,102,9,45,0,0,0,0,0
110210,102,10,50,0,0,0,0,0
110300,103,0,0,0,0,0,0,0
110301,103,1,5,0,0,0,0,0
110302,103,2,10,0,0,0,0,0
110303,103,3,15,0,0,0,0,0
110304,103,4,20,0,0,0,0,0
110305,103,5,25,0,0,0,0,0
110306,103,6,30,0,0,0,0,0
110307,103,7,35,0,0,0,0,0
110308,103,8,40,0,0,0,0,0
110309,103,9,45,0,0,0,0,0
110310,103,10,50,0,0,0,0,0
120100,201,0,0,0,0,0,0,0
120101,201,1,5,0,0,0,0,0
120102,201,2,10,0,0,0,0,0
120103,201,3,15,0,0,0,0,0
120104,201,4,20,0,0,0,0,0
120105,201,5,25,0,0,0,0,0
120106,201,6,30,0,0,0,0,0
120107,201,7,35,0,0,0,0,0
120108,201,8,40,0,0,0,0,0
120109,201,9,45,0,0,0,0,0
120110,201,10,50,0,0,0,0,0
